time,open,high,low,close,diff,%,,,
2023/3/1,117.3,120.1,116.85,119.35,2.05,0.017,,,
2023/3/6,120.15,121.4,118,118.3,-1.85,-0.015,,,
2023/3/13,117.95,119.1,116.5,118.95,1,0.008,,,
2023/3/20,118.95,122.3,117.85,122.2,3.25,0.027,,,
2023/3/27,121.75,122.35,120.15,121.6,-0.15,-0.001,,,
2023/4/6,120.85,121.45,120.2,121,0.15,0.001,,,
2023/4/10,121.25,121.65,119.5,120.65,-0.6,-0.005,,,
2023/4/17,120.35,120.5,118.4,118.6,-1.75,-0.015,,,
2023/4/24,117.8,118.5,115.5,117.4,-0.4,-0.003,,,
2023/5/2,117.45,118.05,116.7,117.8,0.35,0.003,,,
2023/5/8,118.5,119,116.75,117.2,-1.3,-0.011,,,
2023/5/15,116.95,122.85,116.65,122.5,5.55,0.047,,,
2023/5/22,122.5,126.05,121.1,125.95,3.45,0.028,,,
2023/5/29,127.45,127.55,124.9,126.75,-0.7,-0.005,,,
2023/6/5,126.75,128.25,126.15,127.8,1.05,0.008,,,
2023/6/12,128.5,132,128.5,131.55,3.05,0.024,,,
2023/6/19,130.95,131.5,130.25,130.55,-0.4,-0.003,,,
2023/6/26,130.35,130.5,128.3,129.1,-1.25,-0.01,,,
2023/7/3,129.6,131.2,127.1,127.7,-1.9,-0.015,,,
2023/7/10,128.1,132.5,127,132.25,4.15,0.032,,,
2023/7/17,132,132.2,126.5,127.2,-4.8,-0.036,,,
2023/7/24,127,129.9,126.6,129.5,2.5,0.02,,,
2023/7/31,130.3,130.65,126.9,127.25,-3.05,-0.023,,,
2023/8/7,127.65,128.7,126.15,126.3,-1.35,-0.011,,,
2023/8/14,125.65,125.7,122.9,123.85,-1.8,-0.014,,,
2023/8/21,124.2,127.1,123,124.55,0.35,0.003,,,
2023/8/28,124.85,127.05,124.7,125.9,1.05,0.008,,,
2023/9/4,125.9,126.8,123.85,124.3,-1.6,-0.013,,,
2023/9/11,124.45,127.35,123.4,127.35,2.9,0.023,,,
2023/9/18,126.6,126.6,122.05,122.65,-3.95,-0.031,,,
2023/9/25,122.75,123.75,121.55,122.65,-0.1,-0.001,,,
2023/10/2,123.6,124.5,121.35,124.1,0.5,0.004,,,
2023/10/11,125.9,127.4,125.85,126.95,1.05,0.008,,,
2023/10/16,126.3,127,123.9,125.4,-0.9,-0.007,,,
2023/10/23,124.85,124.9,121.6,122.3,-2.55,-0.02,,,
2023/10/30,122.4,125.6,121.1,125.45,3.05,0.025,,,
2023/11/6,126.55,127.45,126.1,126.75,0.2,0.002,,,
2023/11/13,129.25,131.5,128.5,131,1.75,0.014,,,
2023/11/20,131.05,132.7,130.45,131.2,0.15,0.001,,,
2023/11/27,131.2,132.2,130.1,131.8,0.6,0.005,,,
2023/12/4,131.8,132,129.9,131.05,-0.75,-0.006,,,
2023/12/11,131.05,134.2,130.65,133.7,2.65,0.02,,,
2023/12/18,133.65,133.9,132.05,132.95,-0.7,-0.005,,,
2023/12/25,133,136,132.95,135.45,2.45,0.018,,,
2024/1/2,135.6,135.95,132.1,132.15,-3.45,-0.025,,,
2024/1/8,133,133.95,131.95,132.65,-0.35,-0.003,,,
2024/1/15,133.3,133.55,127.3,132.9,-0.4,-0.003,,,
2024/1/22,133.8,135.95,133.35,135.65,1.85,0.014,,,
2024/1/29,135.65,136.65,133.6,135.1,-0.55,-0.004,,,
2024/2/5,135.1,136.2,135,135.95,0.85,0.006,,,
2024/2/15,142.2,142.7,141.2,141.3,-0.9,-0.006,,,
2024/2/19,141,144.1,140.4,143.75,2.75,0.02,,,
2024/2/26,143.7,144.2,142.65,142.8,-0.9,-0.006,,,
2024/3/4,145,156.45,144.85,154.45,9.45,0.065,,,
2024/3/11,153.85,156.15,152.1,153,-0.85,-0.006,,,
2024/3/18,153,158.25,153,157.2,4.2,0.027,,,
2024/3/25,157.2,159.2,155.9,157.9,0.7,0.004,,,
2024/4/1,158.2,159.65,157.25,158.55,0.35,0.002,,,
2024/4/8,158.65,163.35,158.55,162.1,3.45,0.022,,,
2024/4/15,160.25,160.55,149.5,150.9,-9.35,-0.058,,,
2024/4/22,150.4,156.8,149.7,156,5.6,0.037,,,
2024/4/29,157.3,159.35,156,156.95,-0.35,-0.002,,,
2024/5/6,159,162.1,159,161.65,2.65,0.017,,,
2024/5/13,163.35,169.75,162.7,167.25,3.9,0.024,,,
2024/5/20,167.25,171.45,165.3,170.6,3.35,0.02,,,
2024/5/27,171.75,173.4,166,166,-5.75,-0.033,,,
2024/6/3,168.65,174.6,166.15,172.85,4.2,0.025,,,
2024/6/11,173.15,180.5,172.9,180,6.85,0.04,,,
2024/6/17,179.2,189.75,178.8,188.6,9.4,0.052,,,
2024/6/24,186.5,187.4,180.8,186.45,-0.05,0,,,
2024/7/1,186.55,192.85,184.5,191.8,5.25,0.028,,,
2024/7/8,191.9,202.8,191.85,196.35,4.45,0.023,,,
2024/7/15,197.65,199,186.2,186.25,-11.4,-0.058,,,
2024/7/22,185.4,186.3,177.1,179,-6.4,-0.035,,,
2024/7/29,181.8,185.1,174.7,174.7,-7.1,-0.039,,,
2024/8/5,166.65,176.9,158.4,175.85,9.2,0.055,,,
2024/8/12,177.25,183.65,177.25,183.4,6.15,0.035,,,
